"gor","yearchi","priceper","region"
"E12000001",2009,1425.94296228151,"North East"
"E12000001",2012,1392.04545454545,"North East"
"E12000001",2015,1480.58416200412,"North East"
"E12000001",2016,1486.48648648649,"North East"
"E12000001",2011,1390.9343806251,"North East"
"E12000001",2014,1460.39603960396,"North East"
"E12000001",2010,1457.48313483801,"North East"
"E12000001",2013,1403.94459462366,"North East"
"E12000002",2016,1742.42424242424,"North West"
"E12000002",2015,1692.30769230769,"North West"
"E12000002",2013,1588.23529411765,"North West"
"E12000002",2014,1644.73684210526,"North West"
"E12000002",2009,1554.6410608139,"North West"
"E12000002",2012,1574.07407407407,"North West"
"E12000002",2011,1561.18143459916,"North West"
"E12000002",2010,1602.8955532575,"North West"
"E12000003",2015,1718.75,"Yorkshire and The Humber"
"E12000003",2016,1774.1935483871,"Yorkshire and The Humber"
"E12000003",2014,1685.39325842697,"Yorkshire and The Humber"
"E12000003",2013,1620.31041568202,"Yorkshire and The Humber"
"E12000003",2012,1618.73190579586,"Yorkshire and The Humber"
"E12000003",2010,1651.91740412979,"Yorkshire and The Humber"
"E12000003",2011,1621.37121680049,"Yorkshire and The Humber"
"E12000003",2009,1585.51838434085,"Yorkshire and The Humber"
"E12000004",2015,1817.70284510011,"East Midlands"
"E12000004",2014,1737.80487804878,"East Midlands"
"E12000004",2012,1613.53032659409,"East Midlands"
"E12000004",2013,1653.38645418327,"East Midlands"
"E12000004",2016,1908.25688073394,"East Midlands"
"E12000004",2011,1585.3921589259,"East Midlands"
"E12000004",2010,1602.5641025641,"East Midlands"
"E12000004",2009,1528.43845137841,"East Midlands"
"E12000005",2012,1753.74939525883,"West Midlands"
"E12000005",2015,1927.758761992,"West Midlands"
"E12000005",2009,1686.19098331558,"West Midlands"
"E12000005",2011,1732.39346024613,"West Midlands"
"E12000005",2014,1867.44175581879,"West Midlands"
"E12000005",2016,2023.80952380952,"West Midlands"
"E12000005",2010,1764.70588235294,"West Midlands"
"E12000005",2013,1791.0447761194,"West Midlands"
"E12000006",2016,3020.94652055922,"East of England"
"E12000006",2015,2761.35242962166,"East of England"
"E12000006",2014,2526.59574468085,"East of England"
"E12000006",2009,2104.02634170954,"East of England"
"E12000006",2012,2311.85216296773,"East of England"
"E12000006",2013,2354.82167796437,"East of England"
"E12000006",2011,2283.56845630772,"East of England"
"E12000006",2010,2297.90125019149,"East of England"
"E12000007",2016,5666.66666666667,"London"
"E12000007",2014,4709.3023255814,"London"
"E12000007",2015,5135.95166163142,"London"
"E12000007",2013,4148.94946476147,"London"
"E12000007",2012,3915.66265060241,"London"
"E12000007",2011,3799.02714378198,"London"
"E12000007",2009,3339.3406127425,"London"
"E12000007",2010,3735.51358796458,"London"
"E12000008",2015,3269.23076923077,"South East"
"E12000008",2014,3037.03703703704,"South East"
"E12000008",2013,2812.5,"South East"
"E12000008",2016,3565.21739130435,"South East"
"E12000008",2011,2721.08843537415,"South East"
"E12000008",2012,2751.8210276584,"South East"
"E12000008",2010,2740.61990212072,"South East"
"E12000008",2009,2476.06470782436,"South East"
"E12000009",2012,2228.57142857143,"South West"
"E12000009",2015,2497.45158002039,"South West"
"E12000009",2011,2206.73935462316,"South West"
"E12000009",2014,2367.02127659574,"South West"
"E12000009",2009,2060.02034587996,"South West"
"E12000009",2010,2226.17987533393,"South West"
"E12000009",2013,2250,"South West"
"E12000009",2016,2644.23076923077,"South West"
